GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
IT_010021;10021;Davagna;Davagna;ITA;Italy;2005;44.47;9.09;3170.094421;0;2793.674225;18.28260836;1928.744035;95.1598606;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;6328
IT_010025;10025;Genova;Genoa;ITA;Italy;2005;44.41;8.93;3245.111257;0;1101055.622;20.43481491;591045.8253;2557.153345;0.077929192;0.59389003;2.825480993;0.134102871;1.27682018;37956.20313;2271291
IT_010025;10025;Genova;Genoa;ITA;Italy;2011;44.41;8.93;2723.021627;0;897752.0895;21.52407399;577012.1096;2496.423453;0.099173648;0.584888975;3.384390111;0.156033785;1.352993599;38325.91016;1953851
IT_010028;10028;Lavagna;Lavagna;ITA;Italy;2005;44.31;9.34;3111.450714;0;9153.652206;16.51250005;14021.77742;1087.140843;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;55148
IT_010029;10029;Leivi;Leivi;ITA;Italy;2005;44.35;9.32;3170.094421;0;9980.120941;17.06666692;2256.196106;229.1484735;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;8012
IT_010037;10037;Moneglia;Moneglia;ITA;Italy;2005;44.24;9.49;3052.807007;0;3514.346474;16.18421083;2335.687209;153.7327208;0.078042116;0.591367468;2.802531179;0.135138212;1.274170679;37956.20313;15273
IT_010039;10039;Montoggio;Montoggio;ITA;Italy;2005;44.52;9.05;3246.598389;0;4526.08728;18.74642849;1902.882778;39.7640566;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;7463
IT_010041;10041;Neirone;Neirone;ITA;Italy;2005;44.45;9.19;3170.094421;0;3653.717934;17.80857141;817.3854357;26.09040482;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;3070
IT_010053;10053;San Colombano Certenoli;San Colombano Certenoli;ITA;Italy;2005;44.37;9.31;3170.094421;0;8897.818371;17.07659596;2278.86376;56.13546681;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;9098
IT_010059;10059;Sestri Levante;Sestri Levante;ITA;Italy;2005;44.267;9.4;3052.807007;0;15920.35015;16.34999959;17962.85155;563.5521122;0.078042116;0.591367468;2.802531179;0.135138212;1.274170679;37956.20313;71403
IT_010063;10063;Tribogna;Tribogna;ITA;Italy;2005;44.42;9.2;3170.094421;0;1566.735237;17.72857148;1134.480824;167.8035372;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;2099
IT_010064;10064;Uscio;Uscio;ITA;Italy;2005;44.41;9.16;3170.094421;0;1971.919746;17.79999971;2403.77547;244.4065494;0.03909834;0.296540997;1.407554554;0.067471591;0.639337497;37956.20313;7319
IT_011001;11001;Ameglia;Ameglia;ITA;Italy;2008;44.07;9.96;2780.323004;0;4958.896461;14.9733333;4189.460132;340.1050174;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;9907
IT_011002;11002;Arcola;Arcola;ITA;Italy;2008;44.11;9.91;2780.323004;0;12426.44321;16.26111105;10309.31404;641.7344803;0.034379467;0.236357705;1.939361371;0.059753434;0.557453394;39264.60547;20202
IT_011003;11003;Beverino;Beverino;ITA;Italy;2008;44.2;9.783;2780.323004;0;4320.239975;14.311111;2350.085254;65.66801608;0.070004776;0.467368157;3.856676117;0.127455138;1.11594606;39264.60547;5229
