GISCO_ID;LAU_CODE;LAU_LABEL;name;iso;country;year;lat;lng;hdd;cdd;odiac_c;pm25;interpolated_population;interpolated_pop_density;BCSMASS;DMSSMASS;DUSMASS;SO2SMASS;SO4SMASS;gdp_pc;emissions
BE_13008;13008;Geel;Geel;BEL;Belgium;2020;51.16;4.99;5382.081134;NA;134330.5049;23.7067744;38881.56409;351.7305356;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
BE_13010;13010;Grobbendonk;Grobbendonk;BEL;Belgium;2020;51.19;4.74;5374.237618;NA;32881.07795;12.389641;13019.21611;438.7836437;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
BE_13011;13011;Herentals;Herentals;BEL;Belgium;2020;51.18;4.84;5374.237618;NA;109017.9203;17.89563134;24233.50378;493.4673294;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
BE_13012;13012;Herenthout;Herenthout;BEL;Belgium;2020;51.14;4.76;5374.237618;NA;17406.3749;16.5463291;7812.736069;361.7390244;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;52452.00477;NA
BE_13013;13013;Herselt;Herselt;BEL;Belgium;2020;51.05;4.88;5374.237618;NA;30857.24098;33.62471292;18161.37709;342.5312758;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;55443.44923;NA
BE_13014;13014;Hoogstraten;Hoogstraten;BEL;Belgium;2020;51.4;4.76;5371.337474;NA;66601.90057;14.95440567;23951.23227;228.0742296;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52245.70034;NA
BE_13016;13016;Hulshout;Hulshout;BEL;Belgium;2020;51.08;4.79;5374.237618;NA;15348.94496;28.22108522;11058.08893;567.9668393;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;52452.00477;NA
BE_13017;13017;Kasterlee;Kasterlee;BEL;Belgium;2020;51.24;4.97;5382.081134;NA;35336.138;29.88590845;18481.95689;256.0215635;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
BE_13019;13019;Lille;Lille, Belgium;BEL;Belgium;2020;51.24;4.82;5374.237618;NA;37503.54847;20.17751606;17007.0602;289.7022344;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
BE_13021;13021;Meerhout;Meerhout;BEL;Belgium;2020;51.13;5.08;5389.924654;NA;34414.06411;27.59987846;10089.658;275.107381;0.16581861;0.446828711;3.911024481;0.594085096;1.53988398;52452.00477;NA
BE_13023;13023;Merksplas;Merksplas;BEL;Belgium;2020;51.36;4.86;5374.237618;NA;39516.25699;19.40742091;11462.62856;260.1835744;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13025;13025;Mol;Mol;BEL;Belgium;2020;51.19;5.12;5389.924654;NA;874071.2924;28.44368904;37332.80454;336.0203347;0.348795339;0.857644905;7.829278055;1.304452789;3.179607651;52452.00477;NA
BE_13029;13029;Olen;Olen;BEL;Belgium;2020;51.14;4.86;5374.237618;NA;28295.65218;21.50016622;12277.36227;568.747998;0.081607662;0.225996998;1.943771195;0.285139978;0.767406129;52452.00477;NA
BE_13031;13031;Oud-Turnhout;Oud-Turnhout;BEL;Belgium;2020;51.32;4.98;5382.081134;NA;25041.77447;24.20050566;16482.87724;408.8371393;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13035;13035;Ravels;Ravels;BEL;Belgium;2020;51.41;5.01;5382.081134;NA;35760.73662;21.83855527;20278.76469;214.660764;0.182976729;0.410816194;3.918253573;0.710367693;1.639723672;52090.97201;NA
BE_13036;13036;Retie;Retie;BEL;Belgium;2020;51.27;5.08;5389.924654;NA;31093.31914;30.09557495;11368.52359;232.0144684;0.182976729;0.410816194;3.918253573;0.710367693;1.639723672;52452.00477;NA
BE_13037;13037;Rijkevorsel;Rijkevorsel;BEL;Belgium;2020;51.35;4.76;5374.237618;NA;36265.03886;17.64124928;11006.80212;243.8209861;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13040;13040;Turnhout;Turnhout;BEL;Belgium;2020;51.32;4.95;5374.237618;NA;59870.99509;22.3084767;39210.65996;697.4273811;0.08814463;0.211917063;1.917157997;0.326158098;0.811291025;52452.00477;NA
BE_13044;13044;Vorselaar;Vorselaar;BEL;Belgium;2020;51.2;4.77;5374.237618;NA;37957.61113;16.83061237;10018.51291;350.6842461;0.169752292;0.437914061;3.860929192;0.611298076;1.578697154;52452.00477;NA
